Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
74f9c0e2d6bdd92dca5d6c4591c5a1f8e642798030efcfcd6faf1c04d4b7cfb6,2020-12,West Yorkshire Police,West Yorkshire Police,-1.640161,53.697769,On or near NEWSOME STREET,E01033542,Kirklees 017E,Unable to prosecute suspect
68766b969074df14f883c76007a12b3cadbbcd8ce98d9b834a0b0f2036cd17b5,2020-12,West Yorkshire Police,West Yorkshire Police,-1.665545,53.682490,On or near VICTORIA STREET,E01011143,Kirklees 023C,Unable to prosecute suspect
02f668be55eb9534c950e9ef164a397c5a6536631afda6fc4b59bece1e463268,2020-12,West Yorkshire Police,West Yorkshire Police,-1.670028,53.676481,On or near Petrol Station,E01011133,Kirklees 023A,Investigation complete
ce3c711d92dbc42f36ee1cfceb13e76f51139edbc78e713d36f9e2ad96932af7,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
fa93478f26a5534d01b1905c7a72621ad6aa9564325deb17d06b01c0c9d034eb,2020-12,West Yorkshire Police,West Yorkshire Police,-1.476101,53.823339,On or near KENTMERE APPROACH,E01011660,Leeds 040D,Unable to prosecute suspect
8177f3b24d0fe5ab61c39582e627f4dc186508773e8921d5abebd08312d98431,2020-12,West Yorkshire Police,West Yorkshire Police,-1.774626,53.677595,On or near Sports/Recreation Area,E01011102,Kirklees 022C,Action to be taken by another organisation
95dc7cb384e92d2eef3bd2865b5c87c76b62344c4e86c7991f76cc945b88c1db,2020-12,West Yorkshire Police,West Yorkshire Police,-1.613272,53.694998,On or near CANTERBURY ROAD,E01011129,Kirklees 018F,Investigation complete
a98c463b8b7e516b52dcb6143e8a9061a3fd2fb132b0a1194a2407de6c158c46,2020-12,West Yorkshire Police,West Yorkshire Police,-1.753687,53.776710,On or near GAYTHORNE ROAD,E01010742,Bradford 053C,Unable to prosecute suspect
2a56e1ec0588bf6a9f8f84c8fe8382acbac5e800c47d785511b9b07a16569dd7,2020-12,West Yorkshire Police,West Yorkshire Police,-1.579402,53.768532,On or near COTTINGLEY GARDENS,E01011317,Leeds 090B,Unable to prosecute suspect
11e717b5cf3244b4f48af33ffcfd7b1de46b06ba24570635f674b240affa8a8f,2020-12,West Yorkshire Police,West Yorkshire Police,-1.831315,53.845719,On or near HULBERT STREET,E01010584,Bradford 015D,Unable to prosecute suspect
d7fd02b03178c8ccb215191c29def9542d784c16094564c58d8e73b37cbdf40e,2020-12,West Yorkshire Police,West Yorkshire Police,-1.481845,53.823211,On or near ASKET GARTH,E01011660,Leeds 040D,Investigation complete
c01d322749562a9eae5e15c9010d3207324c3881a949e739258892aa0464530c,2020-12,West Yorkshire Police,West Yorkshire Police,-1.759639,53.645721,On or near Supermarket,E01011096,Kirklees 035C,Investigation complete
4656f46556848bff7e27556081415bf3687dcc3f1337468ebb69321d994a8a4d,2020-12,West Yorkshire Police,West Yorkshire Police,-1.654083,53.710285,On or near FOUNTAINS AVENUE,E01011036,Kirklees 012C,Unable to prosecute suspect
ac57f201afa10ad48fdb7d16f3c55a29f45b81caf23998068b5764e163ee1bff,2020-12,West Yorkshire Police,West Yorkshire Police,-1.822347,53.806222,On or near CANFORD ROAD,E01010799,Bradford 036C,Unable to prosecute suspect
233a1ebd4aa4538c433d6f95db7b4976541ebd6a34ebd27373e4ec4f09b2e463,2020-12,West Yorkshire Police,West Yorkshire Police,-1.467536,53.811132,On or near MORESDALE LANE,E01011667,Leeds 050D,Unable to prosecute suspect
088081e6cdcabaa0cb25ea73c768f706210b295dcb72e67866ea8c42a7b8bb1a,2020-12,West Yorkshire Police,West Yorkshire Police,-1.467536,53.811132,On or near MORESDALE LANE,E01011667,Leeds 050D,Unable to prosecute suspect
19f859c3a3cfba1c0e08985cc1cc226402c935c1f047a12494c11cae09b2a084,2020-12,West Yorkshire Police,West Yorkshire Police,-1.725249,53.779246,On or near FENBY AVENUE,E01010609,Bradford 046A,Unable to prosecute suspect
9a31900fcbd8c4733cce9052e987c2e4b27d05139d390b703ad6cd262dc237c8,2020-12,West Yorkshire Police,West Yorkshire Police,-1.354960,53.612739,On or near Supermarket,E01011867,Wakefield 042E,Unable to prosecute suspect
38e1acc49edca19a5670a798af39219a257bd8f8688f83d8429ac0144c6db00a,2020-12,West Yorkshire Police,West Yorkshire Police,-1.537766,53.752542,On or near MANOR FARM ROAD,E01032497,Leeds 099E,Unable to prosecute suspect
367f533abae6c14bc7f7f4a402178e7bab45b6db48c86702a97be7112ca51182,2020-12,West Yorkshire Police,West Yorkshire Police,-1.460670,53.821968,On or near Supermarket,E01011661,Leeds 035D,Unable to prosecute suspect
85f3e5fd0754e3f39ecb7373bbf9d312945291eb631fd986cac4a126321586b5,2020-12,West Yorkshire Police,West Yorkshire Police,-1.683601,53.727732,On or near OXFORD CLOSE,E01011243,Kirklees 004C,Unable to prosecute suspect
9fc71bdfac1041ae3692ba67aadec1716e4d2070dcfa2b0dad889bbbf337a2ea,2020-12,West Yorkshire Police,West Yorkshire Police,-1.460670,53.821968,On or near Supermarket,E01011661,Leeds 035D,Investigation complete
30cd408b63a71e13396c5ddf01209eb9cbcd780980b91da3ef7ebc53b78a5148,2020-12,West Yorkshire Police,West Yorkshire Police,-1.460670,53.821968,On or near Supermarket,E01011661,Leeds 035D,Unable to prosecute suspect
6b89f8efd110580083bfe78e87c04ebbcd840a51f66af2ffb9b93e78c0612094,2020-12,West Yorkshire Police,West Yorkshire Police,-1.460670,53.821968,On or near Supermarket,E01011661,Leeds 035D,Investigation complete
6e41501aeb9a489402d632f0f6291889bc2edc80047e297bdf61040739a29d30,2020-12,West Yorkshire Police,West Yorkshire Police,-1.537766,53.752542,On or near MANOR FARM ROAD,E01032497,Leeds 099E,Investigation complete
